time, solar
61080, 110.0
61200, 100.0
61320, 112.0
61440, 107.0
61560, 110.0
61680, 93.0
61800, 106.0
61920, 105.0
62040, 100.0
62160, 98.0
62280, 91.0
62400, 102.0
62520, 92.0
62640, 101.0
62760, 97.0
62880, 94.0
63000, 92.0
63120, 89.0
63240, 92.0
63360, 93.0
63480, 85.0
63600, 94.0
63720, 85.0
63840, 88.0
63960, 89.0
64080, 82.0
64200, 86.0
64320, 83.0
64440, 74.0
64560, 71.0
64680, 77.0
64800, 67.0
64920, 72.0
65040, 69.0
65160, 68.0
65280, 65.0
65400, 66.0
65520, 64.0
65640, 57.0
65760, 48.0
65880, 59.0
66000, 56.0
66120, 51.0
66240, 49.0
66360, 56.0
66480, 47.0
66600, 39.0
66720, 42.0
66840, 46.0
66960, 43.0
67080, 36.0
67200, 28.0
67320, 38.0
67440, 35.0
67560, 26.0
67680, 29.0
67800, 24.0
67920, 26.0
68040, 25.0
68160, 16.0
68280, 13.0
68400, 11.0
68520, 5.0
68640, 7.0
68760, 12.0
68880, 4.0
69000, 5.0
69120, -3.0
69240, 2.0
69360, 0.0
69480, -1.0
69600, 4.0
69720, 5.0
69840, 8.0
69960, 7.0
70080, 4.0
70200, 5.0
70320, 8.0
70440, 8.0
70560, 6.0
70680, 3.0
70800, 2.0
70920, 8.0
71040, 5.0
71160, 7.0
71280, 7.0
71400, 6.0
71520, 8.0
71640, 5.0
71760, 8.0
71880, 6.0
72000, 6.0
72120, 7.0
72240, 7.0
72360, 10.0
72480, 9.0
72600, 9.0
72720, 4.0
72840, 8.0
72960, 7.0
73080, 6.0
73200, 9.0
73320, 8.0
73440, 8.0
73560, 7.0
73680, 9.0
73800, 7.0
73920, 6.0
74040, 7.0
74160, 7.0
74280, 5.0
74400, 6.0
74520, 4.0
74640, 5.0
74760, 6.0
74880, 4.0
75000, 6.0
75120, 6.0
75240, 7.0
75360, 8.0
75480, 4.0
75600, 6.0
75720, 7.0
75840, 6.0
75960, 8.0
76080, 8.0
76200, 8.0
76320, 5.0
76440, 7.0
76560, 6.0
76680, 9.0
76800, 8.0
76920, 4.0
77040, 6.0
77160, 8.0
77280, 8.0
77400, 8.0
77520, 9.0
77640, 7.0
77760, 7.0
77880, 8.0
78000, 9.0
78120, 6.0
78240, 7.0
78360, 5.0
78480, 7.0
78600, 9.0
78720, 7.0
78840, 7.0
78960, 10.0
79080, 9.0
79200, 10.0
79320, 8.0
79440, 5.0
79560, 5.0
79680, 5.0
79800, 9.0
79920, 9.0
80040, 9.0
80160, 7.0
80280, 6.0
80400, 8.0
80520, 7.0
80640, 10.0
80760, 4.0
80880, 8.0
81000, 8.0
81120, 5.0
81240, 11.0
81360, 2.0
81480, 4.0
81600, 4.0
81720, 4.0
81840, 4.0
81960, 4.0
82080, 7.0
82200, 9.0
82320, 4.0
82440, 6.0
82560, 10.0
82680, 3.0
82800, 1.0
82920, 4.0
83040, 6.0
83160, 7.0
83280, 9.0
83400, 9.0
83520, 6.0
83640, 4.0
83760, 5.0
83880, 4.0
84000, 4.0
84120, 6.0
84240, 4.0
84360, 5.0
84480, 7.0
84600, 6.0
84720, 5.0
84840, 6.0
84960, 6.0
85080, 6.0
85200, 6.0
85320, 7.0
85440, 9.0
85560, 5.0
85680, 7.0
85800, 6.0
85920, 4.0
86040, 4.0
86160, 7.0
86280, 6.0
86400, 6.0
86520, 6.0
86640, 5.0
86760, 5.0
86880, 7.0
87000, 7.0
87120, 6.0
87240, 4.0
87360, 8.0
87480, 7.0
87600, 5.0
87720, 8.0
87840, 5.0
87960, 7.0
88080, 5.0
88200, 6.0
88320, 6.0
88440, 5.0
88560, 6.0
88680, 6.0
88800, 6.0
88920, 8.0
89040, 8.0
89160, 10.0
89280, 7.0
89400, 7.0
